dataset,n_features_total,model,selector,selector_family,k_ratio,n_selected_mean,accuracy_mean,accuracy_std,f1_mean,f1_std,train_time_s_mean,total_time_s_mean,energy_j_mean,energy_wh_mean
Optical Digits,64,Random Forest,Filter (Mutual Info),Filter,0.75,48.0,0.9771835345094398,0.0027313038609728607,0.9771246628469623,0.002755611162702677,0.2564204335998511,0.9873303672000475,64.17647386800309,0.017826798296667525
Optical Digits,64,Random Forest,Wrapper (RFE),Wrapper,0.75,48.0,0.9777375425564842,0.00529499072532203,0.9776475928274246,0.005371008185980177,0.4339878915990994,2.1003290927998024,136.52139103198715,0.03792260861999643
Optical Digits,64,Random Forest,Embedded (L1-SVM),Embedded,0.75,48.0,0.9771773444753945,0.005422390327701032,0.9770656489322086,0.005438271224826508,0.27683716639949124,0.5523360334002063,35.90184217101341,0.009972733936392615
Optical Digits,64,Random Forest,Embedded (RF importance),Embedded,0.75,48.0,0.9771773444753945,0.005422390327701032,0.977073665340089,0.005446505088492774,0.2729602833998797,0.5722454588008986,37.19595482205841,0.010332209672794003
Optical Digits,64,Linear SVM,Baseline (no FS),None,1.0,64.0,0.9560414732281028,0.006162998838175512,0.9558042603583969,0.006075957362005513,0.8285615005988802,0.8290388004010311,53.88752202606702,0.01496875611835195
Optical Digits,64,Linear SVM,Filter (Mutual Info),Filter,0.25,16.0,0.89595481275147,0.016995849535144287,0.8954029245331798,0.01680282443054035,0.02913263340087724,0.6880752588011092,44.724891822072095,0.012423581061686693
Optical Digits,64,Linear SVM,Wrapper (RFE),Wrapper,0.25,16.0,0.9209811203961623,0.007973590126467433,0.9210355556703602,0.007686376712715959,0.024824458199873334,0.859753558599914,55.88398130899441,0.015523328141387335
Optical Digits,64,Linear SVM,Embedded (L1-SVM),Embedded,0.25,16.0,0.9259919529557413,0.006440183827659,0.9261079250739572,0.006298919053974003,0.021301041399419775,0.20347437499949592,13.225834374967235,0.003673842881935343
Optical Digits,64,Linear SVM,Embedded (RF importance),Embedded,0.25,16.0,0.9131878675332714,0.016345429703230472,0.9122585589303348,0.016514844387180344,0.028462916399439563,0.2685100586015324,17.453153809099604,0.004848098280305446
Optical Digits,64,Linear SVM,Baseline (no FS),None,1.0,64.0,0.9560414732281028,0.006162998838175512,0.9558042603583969,0.006075957362005513,0.8095575588005886,0.8100800920008624,52.65520598005605,0.014626446105571126
Optical Digits,64,Linear SVM,Filter (Mutual Info),Filter,0.5,32.0,0.951032188177035,0.00871943749651706,0.9507508305509346,0.008865636195928025,0.05404603339920868,0.6828578084001492,44.3857575460097,0.012329377096113805
Optical Digits,64,Linear SVM,Wrapper (RFE),Wrapper,0.5,32.0,0.9604874651810584,0.004474878748768743,0.9604087915828989,0.004512213502818203,0.05028600799923879,0.8177992503988207,53.15695127592335,0.014765819798867597
Optical Digits,64,Linear SVM,Embedded (L1-SVM),Embedded,0.5,32.0,0.9565923862581245,0.008197377681363352,0.9564673467258222,0.008161472270412362,0.051419916799932255,0.2409869669994805,15.664152854966233,0.004351153570823953
Optical Digits,64,Linear SVM,Embedded (RF importance),Embedded,0.5,32.0,0.9593748065614361,0.0022612991618554757,0.9594143690609952,0.0022133170258402932,0.058671458400203845,0.28415135859977453,18.469838308985345,0.005130510641384818
Optical Digits,64,Linear SVM,Baseline (no FS),None,1.0,64.0,0.9560414732281028,0.006162998838175512,0.9558042603583969,0.006075957362005513,0.8053228172000673,0.8057637170015368,52.374641605099896,0.014548511556972194
Optical Digits,64,Linear SVM,Filter (Mutual Info),Filter,0.75,48.0,0.9616047663262147,0.007322594432119647,0.9614878255662467,0.007348651988468761,0.08229184960073326,0.680417725800362,44.22715217702353,0.012285320049173203
Optical Digits,64,Linear SVM,Wrapper (RFE),Wrapper,0.75,48.0,0.9571510368307026,0.00871651034812991,0.9569923074307937,0.008771811720485977,0.08659690860076807,0.7681716667990258,49.93115834193668,0.013869766206093523
Optical Digits,64,Linear SVM,Embedded (L1-SVM),Embedded,0.75,48.0,0.9604905601980811,0.006892976052368113,0.9604046268749287,0.006896021355883277,0.08320170019942452,0.2711760085992864,17.626440558953618,0.004896233488598228
Optical Digits,64,Linear SVM,Embedded (RF importance),Embedded,0.75,48.0,0.9610461157536367,0.007661360651574361,0.9609386359292135,0.007682499961223624,0.09674590019931202,0.3207263000011153,20.847209500072495,0.005790891527797915
